caso,alpha,origen,destino,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
5,1.0,13638963688,11083496389,14863.15070056967,14930.706695237246,0.45452001415142357,0.3000516275380722,0.28890242832292246,3.7157602865310433,True
6,1.0,199799388,11861796818,9306.951026079172,9306.951026079172,0.0,0.15524802829554082,0.15524802829554082,0.0,False
7,1.0,6034897129,92595950,5690.2062392180405,5691.000186773775,0.013952878373055718,0.2203418505182512,0.22017085372821263,0.07760522553313359,True
8,1.0,89573830,206105981,9275.662768958206,9586.21312944875,3.3480126242819814,0.37338319761254124,0.273938765168361,26.633344264026963,True
9,1.0,1015323414,1383156053,10382.064196327145,10382.064196327145,0.0,0.1941329759430264,0.1941329759430264,0.0,False
10,1.0,8638574824,12079521367,15789.050860818292,15789.557690767237,0.003210008970220024,0.24417109341905224,0.24412713491684282,0.018003155735548483,True
11,1.0,89318596,11462899302,15675.971942763943,15676.101044837773,0.0008235666298798169,0.19292775897030573,0.19287199092484533,0.028906180094581683,True
12,1.0,471112549,12916778952,9450.524154291856,9454.080393963899,0.03763007864942969,0.16791814153103998,0.16742034520607754,0.2964517832460777,True
13,1.0,11047216026,6034896758,6261.858246698843,6278.490034831531,0.2656046732047412,0.21759945524748048,0.2035570435385786,6.4533303601018455,True
14,1.0,1067030423,6685636158,2010.5764457002997,2010.5764457002997,0.0,0.2910397119169709,0.2910397119169709,0.0,False
15,1.0,11851497880,2426029187,1258.4295950341655,1258.4295950341655,0.0,0.3596380731248534,0.3596380731248534,0.0,False
16,1.0,81917860,243462091,12974.550119034831,12985.97169804569,0.08803063617676209,0.24104212321786705,0.23987195492801341,0.4854621566687654,True
17,1.0,6034979261,4072735918,2641.5831093251245,2721.045734942999,3.008144068508057,0.3279695417927774,0.2855532772170613,12.932988942770834,True
18,1.0,2418484955,241968643,14973.401885536718,15000.0991175479,0.17829770559333927,0.26156557476053044,0.25413588204291415,2.8404703961591085,True
19,1.0,886393813,3846153504,6960.636511511439,6972.709501523919,0.1734466379980402,0.2894745579466468,0.22195378932348855,23.325286029317652,True
20,1.0,206119285,205501570,4251.3130513330325,4260.310620383875,0.21164211955695492,0.31094578159038544,0.30753930530130114,1.0955209849322598,True
21,1.0,4525551515,206109370,14020.722700095603,15053.422622918062,7.365525621695791,0.382445448780658,0.23305006125133682,39.063188751659894,True
22,1.0,4456597250,4322661441,10021.017343144165,10021.18700477108,0.0016930579112376914,0.20794323032464201,0.2069098310584495,0.4969622067422704,True
23,1.0,12079633066,2153010956,11142.59536955801,11142.59536955801,0.0,0.30907375868602116,0.30907375868602116,0.0,False
24,1.0,190996837,7337715737,6799.045367168021,6799.045367168021,0.0,0.06709570471134325,0.06709570471134325,0.0,False
25,1.0,10681923737,218308131,535.2404574004254,535.2404574004254,0.0,0.1739728134658946,0.1739728134658946,0.0,False
26,1.0,4524178066,199651466,12390.298757403689,12390.298757403689,0.0,0.20021113492940054,0.20021113492940054,0.0,False
27,1.0,11267813276,2973570883,11092.341239912548,11092.391535253675,0.00045342403410687294,0.18626532961621972,0.18617546035717833,0.04824798003286929,True
28,1.0,12324595302,12244768073,3423.1162055447235,3423.1162055447235,0.0,0.11767705593239339,0.11767705593239339,0.0,False
29,1.0,4464198679,11688082425,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,1.0,316479920,199456382,8912.607876733773,8912.607876733773,0.0,0.1964786787389676,0.1964786787389676,0.0,False
1,2.0,12557786965,206154801,10125.623855288999,10220.031350013774,0.9323622531708289,0.31421795043753814,0.3014803370221587,4.053751034160438,True
2,2.0,89283387,2300081764,12586.750278547654,13289.539912552578,5.5835669926869915,0.32891409902072566,0.21610001856130048,34.2989494203216,True
3,2.0,1627144362,1139217432,15942.648439266402,16078.59194163594,0.8527033816709584,0.1746132401792858,0.16606497666493716,4.895541429488185,True
4,2.0,235355154,206119334,2592.8618900408283,2592.8618900408283,0.0,0.2316182917888654,0.2316182917888654,0.0,False
5,2.0,13638963688,11083496389,14863.15070056967,14933.162642600877,0.47104374732959003,0.3000516275380722,0.2887653270563642,3.761452845402717,True
6,2.0,199799388,11861796818,9306.951026079172,9306.951026079172,0.0,0.15524802829554082,0.15524802829554082,0.0,False
7,2.0,6034897129,92595950,5690.2062392180405,5691.000186773775,0.013952878373055718,0.2203418505182512,0.22017085372821263,0.07760522553313359,True
8,2.0,89573830,206105981,9275.662768958206,9597.98075024364,3.474878176512612,0.37338319761254124,0.27296789333107635,26.893364490832173,True
9,2.0,1015323414,1383156053,10382.064196327145,10410.902213931487,0.2777676679609138,0.1941329759430264,0.19199247479304818,1.102595341971372,True
10,2.0,8638574824,12079521367,15789.050860818292,16661.727098446172,5.527097514097515,0.24417109341905224,0.1877218379737674,23.11872984424298,True
11,2.0,89318596,11462899302,15675.971942763943,15676.101044837773,0.0008235666298798169,0.19292775897030573,0.19287199092484533,0.028906180094581683,True
12,2.0,471112549,12916778952,9450.524154291856,9545.695159835483,1.0070447309571295,0.16791814153103998,0.15796854283618747,5.925267278528873,True
13,2.0,11047216026,6034896758,6261.858246698843,6279.283982387267,0.27828377778451185,0.21759945524748048,0.2034052398181556,6.523093273915372,True
14,2.0,1067030423,6685636158,2010.5764457002997,2010.5764457002997,0.0,0.2910397119169709,0.2910397119169709,0.0,False
15,2.0,11851497880,2426029187,1258.4295950341655,1258.4295950341655,0.0,0.3596380731248534,0.3596380731248534,0.0,False
16,2.0,81917860,243462091,12974.550119034831,13106.625348321544,1.0179561377850517,0.24104212321786705,0.2315193590041029,3.95066392821182,True
17,2.0,6034979261,4072735918,2641.5831093251245,2721.045734942999,3.008144068508057,0.3279695417927774,0.2855532772170613,12.932988942770834,True
18,2.0,2418484955,241968643,14973.401885536718,15000.0991175479,0.17829770559333927,0.26156557476053044,0.25413588204291415,2.8404703961591085,True
19,2.0,886393813,3846153504,6960.636511511439,6972.709501523919,0.1734466379980402,0.2894745579466468,0.22195378932348855,23.325286029317652,True
20,2.0,206119285,205501570,4251.3130513330325,4335.298261131044,1.9755122425453198,0.31094578159038544,0.2886892105576136,7.157701551356252,True
21,2.0,4525551515,206109370,14020.722700095603,15477.869782640999,10.392810083430723,0.382445448780658,0.20855839465998915,45.46715215858077,True
22,2.0,4456597250,4322661441,10021.017343144165,10087.54502186576,0.6638814847188136,0.20794323032464201,0.202012940712771,2.851879141539066,True
23,2.0,12079633066,2153010956,11142.59536955801,11142.59536955801,0.0,0.30907375868602116,0.30907375868602116,0.0,False
24,2.0,190996837,7337715737,6799.045367168021,6799.045367168021,0.0,0.06709570471134325,0.06709570471134325,0.0,False
25,2.0,10681923737,218308131,535.2404574004254,535.2404574004254,0.0,0.1739728134658946,0.1739728134658946,0.0,False
26,2.0,4524178066,199651466,12390.298757403689,12425.546132424657,0.28447558619122587,0.20021113492940054,0.1969881908092237,1.609772663899706,True
27,2.0,11267813276,2973570883,11092.341239912548,11092.391535253675,0.00045342403410687294,0.18626532961621972,0.18617546035717833,0.04824798003286929,True
28,2.0,12324595302,12244768073,3423.1162055447235,3423.1162055447235,0.0,0.11767705593239339,0.11767705593239339,0.0,False
29,2.0,4464198679,11688082425,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,2.0,316479920,199456382,8912.607876733773,8912.607876733773,0.0,0.1964786787389676,0.1964786787389676,0.0,False
1,3.0,12557786965,206154801,10125.623855288999,10355.723620455885,2.2724502554644666,0.31421795043753814,0.2917102144120315,7.163096823133551,True
2,3.0,89283387,2300081764,12586.750278547654,13320.336213903121,5.828239371728555,0.32891409902072566,0.2146156056789719,34.75025658129405,True
3,3.0,1627144362,1139217432,15942.648439266402,16078.59194163594,0.8527033816709584,0.1746132401792858,0.16606497666493716,4.895541429488185,True
4,3.0,235355154,206119334,2592.8618900408283,2592.8618900408283,0.0,0.2316182917888654,0.2316182917888654,0.0,False
