caso,franja,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
9,Mañana,10382.064196327145,10410.902213931487,0.2777676679609138,0.17534193613574386,0.1737358516387741,0.9159728313518642,True
10,Mañana,15789.050860818292,16661.727098446172,5.527097514097515,0.23300033616493843,0.17926326280261706,23.063088340044914,True
11,Mañana,15675.971942763943,15676.101044837773,0.0008235666298798169,0.1917168518181842,0.19166171141698943,0.028761374220286927,True
12,Mañana,9450.524154291856,9545.695159835483,1.0070447309571295,0.17414828398890764,0.1632179535252246,6.276450283242085,True
13,Mañana,6261.858246698843,6283.678567079481,0.3484639785983855,0.17735262784626704,0.16533817498939438,6.7743303286642265,True
14,Mañana,2010.5764457002997,2010.5764457002997,0.0,0.27106521371648556,0.27106521371648556,0.0,False
15,Mañana,1258.4295950341655,1258.4295950341655,0.0,0.32966697486475605,0.32966697486475605,0.0,False
16,Mañana,12974.550119034831,13430.376560092043,3.51323503994542,0.23420473490718394,0.21245323248209227,9.287387991413516,True
17,Mañana,2641.5831093251245,2721.045734942999,3.008144068508057,0.29124766424831616,0.25604307749075533,12.087508701029646,True
18,Mañana,14973.401885536718,15011.632539094038,0.2553237657652727,0.260018266751743,0.2536199967202435,2.4607002082697402,True
19,Mañana,6960.636511511439,6977.104086216135,0.23658144880087928,0.24059111094251967,0.18512511245910435,23.05405144276792,True
20,Mañana,4251.3130513330325,4335.298261131044,1.9755122425453198,0.30283306194728926,0.28085448006430064,7.257655997552271,True
21,Mañana,14020.722700095603,15477.869782640999,10.392810083430723,0.3330124902798729,0.20376150042764482,38.81265526815585,True
22,Mañana,10021.017343144165,10087.54502186576,0.6638814847188136,0.20727947129527471,0.2026499625855601,2.2334622337586802,True
23,Mañana,11142.59536955801,11142.59536955801,0.0,0.27519421469310956,0.27519421469310956,0.0,False
24,Mañana,6799.045367168021,6799.045367168021,0.0,0.05419993090950262,0.05419993090950262,0.0,False
25,Mañana,535.2404574004254,535.2404574004254,0.0,0.1763635491946572,0.1763635491946572,0.0,False
26,Mañana,12390.298757403689,12425.943604764501,0.2876835180387664,0.1975023921455899,0.19418208511412322,1.6811477549188891,True
27,Mañana,11092.341239912548,11926.308965483664,7.518410293494457,0.19238959103521486,0.15173479520756397,21.131494489329967,True
28,Mañana,3423.1162055447235,3423.1162055447235,0.0,0.11362684425770729,0.11362684425770729,0.0,False
29,Mañana,8736.05463416934,8736.05463416934,0.0,0.19500400467936982,0.19500400467936982,0.0,False
30,Mañana,8912.607876733773,8912.607876733773,0.0,0.20059259775062152,0.20059259775062152,0.0,False
1,Tarde,10125.623855288999,10355.723620455885,2.2724502554644666,0.3842053693168609,0.3410901550254561,11.22191872749361,True
2,Tarde,12586.750278547654,13539.547136775102,7.569840007482759,0.38906424906754805,0.2412943347904672,37.980851396969534,True
3,Tarde,15942.648439266402,16078.59194163594,0.8527033816709584,0.20193415378476826,0.19041916549577093,5.702348054143725,True
4,Tarde,2592.8618900408283,2592.8618900408283,0.0,0.26705458618897415,0.26705458618897415,0.0,False
5,Tarde,14863.15070056967,15987.570673411195,7.565152204225647,0.37243739685935334,0.2977894192987573,20.0430940045438,True
6,Tarde,9306.951026079172,9362.90327014587,0.6011876919725072,0.17333051990702697,0.16971084148247387,2.088309910161619,True
7,Tarde,5690.2062392180405,5695.394771465989,0.0911835534569553,0.27995728250333335,0.279137937807407,0.29266775580900134,True
8,Tarde,9275.662768958206,10219.313369771278,10.173403500298434,0.44536583926061,0.2809172347245563,36.924386659082096,True
9,Tarde,10382.064196327145,10382.524942976408,0.004437909846737933,0.2260560498988801,0.2260303415166613,0.011372569869418446,True
10,Tarde,15789.050860818292,17605.020040768344,11.501446134780117,0.30881206117714677,0.20394499974379807,33.958214272334665,True
11,Tarde,15675.971942763943,15676.101044837773,0.0008235666298798169,0.2202254195320108,0.22015326146587832,0.03276554826677885,True
12,Tarde,9450.524154291856,9545.695159835483,1.0070447309571295,0.1934347653578011,0.17931091524952023,7.301608933717597,True
13,Tarde,6261.858246698843,6283.678567079481,0.3484639785983855,0.2794061525962721,0.25835207658346315,7.535294343797446,True
14,Tarde,2010.5764457002997,2010.5764457002997,0.0,0.35804710850647425,0.35804710850647425,0.0,False
15,Tarde,1258.4295950341655,1258.4295950341655,0.0,0.49066211081149785,0.49066211081149785,0.0,False
16,Tarde,12974.550119034831,13966.554697262196,7.645772447801522,0.28845740744354564,0.22583424301971566,21.709674568189424,True
17,Tarde,2641.5831093251245,2730.1329156786474,3.3521491730065494,0.4420014188764024,0.37215682577183046,15.801893415211566,True
18,Tarde,14973.401885536718,17464.80464320422,16.63885586397055,0.31513987426478035,0.20959829644359101,33.49039154991645,True
19,Tarde,6960.636511511439,7195.951171230139,3.3806485847887515,0.3310356918162082,0.234836518996666,29.06006065139109,True
20,Tarde,4251.3130513330325,4335.298261131044,1.9755122425453198,0.3685717367753475,0.34229959546802363,7.128094394100898,True
21,Tarde,14020.722700095603,15716.095945339359,12.091910534912698,0.493351660709759,0.23608142006517174,52.14743582183672,True
22,Tarde,10021.017343144165,10146.969301975601,1.2568779647667763,0.2472500048310738,0.23771254133414807,3.8574169102410765,True
23,Tarde,11142.59536955801,11142.59536955801,0.0,0.39803020871949685,0.39803020871949685,0.0,False
24,Tarde,6799.045367168021,6799.045367168021,0.0,0.08111119377242303,0.08111119377242303,0.0,False
25,Tarde,535.2404574004254,535.2404574004254,0.0,0.19193767598574854,0.19193767598574854,0.0,False
26,Tarde,12390.298757403689,12425.943604764501,0.2876835180387664,0.22799455433371607,0.22239710361900214,2.4550808816779592,True
27,Tarde,11092.341239912548,11926.308965483664,7.518410293494457,0.22010711718878476,0.16446720793551634,25.27855980483646,True
28,Tarde,3423.1162055447235,3423.1162055447235,0.0,0.13238352047338262,0.13238352047338262,0.0,False
29,Tarde,8736.05463416934,8736.05463416934,0.0,0.21332687292804123,0.21332687292804123,0.0,False
30,Tarde,8912.607876733773,8913.16800239939,0.006284643881612989,0.220261969250039,0.2201937737628297,0.030961081225910146,True
1,Noche,10125.623855288999,10355.723620455885,2.2724502554644666,0.4196731828945415,0.39350308006151036,6.235829187972521,True
2,Noche,12586.750278547654,13539.547136775102,7.569840007482759,0.4266397785124393,0.2668640195024136,37.44980357132057,True
3,Noche,15942.648439266402,16078.59194163594,0.8527033816709584,0.22413740115415368,0.2091645578750291,6.6802074093947335,True
4,Noche,2592.8618900408283,2592.8618900408283,0.0,0.29072267053881845,0.29072267053881845,0.0,False
5,Noche,14863.15070056967,15624.040883993246,5.119306119895652,0.39160652497320103,0.34294803178814665,12.425353021986611,True
6,Noche,9306.951026079172,9306.951026079172,0.0,0.20352992466307382,0.20352992466307382,0.0,False
7,Noche,5690.2062392180405,5695.394771465989,0.0911835534569553,0.29533856967978644,0.2944856968697957,0.28877799838857887,True
8,Noche,9275.662768958206,10219.313369771278,10.173403500298434,0.4916754867944137,0.3123107970475416,36.48029941787002,True
9,Noche,10382.064196327145,10411.362960580751,0.2822055778076517,0.2526856161769789,0.2506675979380184,0.7986280618153864,True
10,Noche,15789.050860818292,16661.727098446172,5.527097514097515,0.2889990759232369,0.22422241609830013,22.414140812734843,True
11,Noche,15675.971942763943,15908.677967290369,1.4844758932720796,0.250175505111396,0.23702449471223855,5.256713839071377,True
12,Noche,9450.524154291856,9545.695159835483,1.0070447309571295,0.2102695785256133,0.2004106185079617,4.688723916593878,True
13,Noche,6261.858246698843,6283.678567079481,0.3484639785983855,0.29127590897348554,0.2718530639014061,6.668194819313896,True
14,Noche,2010.5764457002997,2010.5764457002997,0.0,0.39675230944854395,0.39675230944854395,0.0,False
15,Noche,1258.4295950341655,1258.4295950341655,0.0,0.4304545160747508,0.4304545160747508,0.0,False
16,Noche,12974.550119034831,14152.813861399529,9.081345646320935,0.3121280582719121,0.24008564673702115,23.081043060899958,True
17,Noche,2641.5831093251245,2730.1329156786474,3.3521491730065494,0.4010418364660112,0.34839245268097263,13.128152476306717,True
18,Noche,14973.401885536718,15000.0991175479,0.17829770559333927,0.3296908343192366,0.32085838852810217,2.6790085958477334,True
19,Noche,6960.636511511439,7195.951171230139,3.3806485847887515,0.38203891668816425,0.26340802827737014,31.052042927769445,True
20,Noche,4251.3130513330325,4335.298261131044,1.9755122425453198,0.37146942203861205,0.34380279280438053,7.447888733989992,True
